Name,Medicine_Name,Alias,English_Name,Medicinal_Part,Source,Morphology,Distribution,Processing,Properties,Type,Effect,Usage,Constituent,Formula,Pharmacology,Taboo
丝瓜络,丝瓜络 sigualuo,水瓜络、天萝筋、丝瓜网、丝瓜瓤、丝瓜布、天罗线、丝瓜筋、千层楼。,"Towel Gourd Vegetable Sponge, Vegetable Sponge of Luffa。",葫芦科植物丝瓜Luffa cylindrica (L.) Roem.的成熟果实的维管束。,,一年生攀援草本。幼时全株密被柔毛，老时近于无毛。茎圆形，常有角棱，幼茎绿色，被稀疏柔毛。叶互生，叶柄多角形，具柔毛；叶片圆心形，掌状3～7裂，裂片常呈三角形，边缘具细齿，上面深绿色，下面淡绿色，幼时具有刺毛，老时粗糙无毛。花单性，雌雄同株；雌花单生，具柄；雄花为总状花序，花萼5，深裂，裂片绿色，卵状披针形，外面被细柔毛；花冠黄色、淡黄色，呈5深裂，裂片阔倒卵形，边缘波状；雄蕊3～5，花药2室，多弯曲似“S”形，花丝分离。瓠果常下垂，长圆柱形，有绿色纵纹；种子卵形，黑色，边缘有翅。花期5～7月，果期6~9月。,我国各地均有栽培。主产于浙江、江苏、福建等地。浙江慈溪所产质量最佳。,夏、秋季果实成熟，果皮变黄，内部干枯时采摘，搓去外皮及果肉；或浸泡于水中，待果皮及果肉腐烂后，取出，洗净，剪去两端，拍打去种子，晒干，压扁。,丝状维管束纵横交织而成的细密坚韧的网络状物。全体呈压扁的长圆筒状或长棱形，两端细，略弯曲，长25～70厘米，直径5～10厘米，表面黄白色至暗黄色，有时残存果皮及膜状的果肉，体轻，质韧，富弹性，难折断，横切面可见子房3室，空洞状，偶有残留种子。气无，味淡。,性平，味甘。归肺经、胃经、肝经。,活血、通络、祛风。属活血化瘀药下分类的活血止痛药。,用量3～12克。用治各种原因引起的气血瘀滞、脉络不通的胸胁疼痛、腹痛、腰痛、睾丸疼痛、妇人经痛、乳汁不通等；肺热咳嗽、痔瘘、崩漏等。,含纤维素、木聚糖、甘露聚糖、半乳聚糖、木质素等。,①治胸胁疼痛：炒丝瓜络、赤芍、白芍、延胡索各9克，青皮6克，煎服。(《安徽中草药》),镇痛；抗炎；镇静。煎剂、鲜汁及甲醇提取物都有止咳作用；甲醇提取物有明显增加呼吸道排泌酚红的作用；煎剂与酒精浸剂对肺炎球菌及呼吸道常见细菌有抑制作用。,脾胃虚寒者少用丝瓜络。
水蛭,水蛭 shuizhi,马蛭、麻黄蜞、马蟥、水麻贴、沙塔干、肉钻子、蚂蝗蜞、蚂蟥。,Hirudo。,水蛭科动物水蛭Hirudo niponica Whitman等几种的全体。,,水生环节动物。体长3～5厘米，宽0.4～0.6厘米。背面黄绿色或黄褐色，有5条黄白色纵纹，但背部和纵纹的色泽变化很大。背中线的一条纵纹延伸至后吸盘上。腹面暗灰色，无斑纹。体环数103。雄、雌生殖孔分别位于第31至第32、第36至第37环沟，两孔相间5环。阴茎露出时呈细线状。眼5对，排列成马蹄形。口内有3个腭，腭背上有1列细齿，后吸盘呈碗状，朝向腹面。,栖息于沟渠或水田中，吸人、畜血液。分布很广，我国南、北方均有。,夏、秋季捕捉，捕后洗净，用石灰或白酒将其闷死，或用沸水烫死，晒干或低温干燥。,扁长圆柱形，有多数环节，长2～5厘米，宽0.2～0.3厘米，体多弯曲扭转。全体棕黑色，背部稍隆起，腹面平坦，前端略尖，后端钝圆，两端各有一吸盘。质脆，易折断，断面不平坦，无光泽。气微腥，味咸。,性平，味咸、苦，有小毒。归肝经。,破血、逐瘀、通经。属活血化瘀药下属分类的活血调经药。,用量1.5~3克，煎服，或入丸、散；外用适量。用治癥瘕痞块、血瘀闭经、跌打损伤。,主要含蛋白质。亦含铁、锰、锌等多种微量元素。新鲜水蛭唾液中含有一种抗凝血物质名水蛭素。,①治漏下去血不止：水蛭治下筛，酒服3克，日二，恶血消即愈。(《千金要方》),具有防止血栓形成、并溶解血栓的作用;降低血小板的活性，抑制血小板的释放、,体弱血虚、孕妇、妇女月经期及有出血倾向者禁用。
水翁花,水翁花 shuiwenghua,水翁仔、水雍花、水榕花。,Flos Cleistocalycis。,,桃金娘科植物水翁Cleistocalyx opercutatus (Roxb.) Meer.et Perry.的幼嫩花蕾。,常绿大乔木；小枝近圆柱形或四棱形。叶对生，近革质，阔卵状长圆形、长椭圆形或阔披针形，顶端钝而急尖或渐尖而有钝头，基部钝或渐狭，全缘；侧脉纤细，仅在下面较明显。聚伞状圆锥花序侧生和顶生，花小，青白色，近无梗；萼筒钟状，顶端近截平，萼裂片合生成帽状，顶端尖，有腺点，花开时整个脱落，花瓣4片，早落，雄蕊多数；子房下位。浆果近球形，成熟时紫黑色而有斑点。,生于河道两岸水边和山谷溪旁，分布于广东、海南、广西、福建等地，野生或栽培。,端午节前后采收。摘取带幼嫩花蕾的花序，晒至三成千时堆闷，发汗1~2天，然后日晒夜闷至足干，筛去枝梗、杂质。,花蕾呈卵形或类球形，两端稍尖，皱缩。下半部有残存萼筒，呈倒钟形或环形，棕色，上半部呈帽状，由5枚合生的花瓣组成，浅棕黄色；除去帽状花冠，可见重叠的雄蕊；花丝棕黑色，中央有一锥形花柱。质硬。气微香，味苦。,性寒，味苦。归肺经、脾经、胃经。,清热解暑、生津止渴、去湿消滞。属清热药下属分类的清热泻火药。,用量15~30克，煎服。用治夏天感暑食滞所致的发热、咽干、口渴脘胀或呕吐泄泻。,含黄酮苷类成分，有5，7-二羟基-6，8.二甲氧基黄烷酮等；没食子酸、没食子酸乙酯、熊果酸及多种氨基酸、糖类、&beta；-谷甾醇。花蕾含挥发油0.18%，其主要成分为：&alpha；-蒎烯、&beta；-蒎烯、月桂烯-Z、p.罗勒烯-Z、3 -罗勒烯-E、2，7-二甲基l，6-辛二烯、芳樟醇、3，4-二甲基2，4，6-辛三烯、小茴香烯、水杨酸甲酯、乙酸香叶酯、乙酸松油酯、香叶醇、蛇麻烯、8-愈创木烯、8-杜松烯、橙花叔醇等。对常见化脓性球菌和肠道致病菌均有较强的抑制作用。,,,尚不明确。
水牛角,水牛角,沙牛角,Bubali Cornu。,牛科动物水牛Bubalus bubalis Linnaeus的角。,,大型家畜，体粗壮，长达2.5米以上。头大额方，鼻宽口大，上唇上部有2个大鼻孔，其间皮肤硬而光滑，无毛。眼、耳部很大，雌雄均有角1对，弧形，角面上部有许多节纹，中空。头长，颈短。无门齿和犬齿，臼齿强大。腰腹隆凸。四肢较短，强健，蹄较大。皮厚无汗腺。毛短而粗，体前部较密，后背及胸腹部稀疏。体色大多灰黑色，偶有黄褐色或白色者。,原产于印度，性喜群居。我国淮河以南各地均有饲养。,全年均可采收，宰牛取角，水煮，除去角塞，干燥。,弯曲，呈上圆下扁的锥形，长短不一。表面棕黑色或灰黑色，一侧有数条横向沟槽，另一侧有密集横向凹陷条纹。上部渐尖，有纵纹，基部略呈三角形。质坚硬，断面角质，中空。气微腥，味淡。,性寒，味苦。归心经、肝经。,清热解毒、凉血定惊。属平肝息风药下属分类的息风止痉药。,用量15~30克，煎服，宜先煎3小时以上，或人散剂。用治温病高热、神昏澹语、发斑发疹、吐血、衄血、惊风、癫狂。, 水牛角含有天门冬氨酸、苏氨酸、丝氨酸、谷氨酸等多种氨基酸，并含铁、锌、铜、锰等多种微量元素。实验表明，水牛角水煎剂具有抗实验性凝血功能障碍的作用;对大鼠有明显的镇静作用;并具抗休克和抗感染作用;连续两周给药，可显著增强实验小白鼠网状内皮系统吞噬功能;对离体蛙心有加强收缩的作用;对正常家兔或人工发热的家兔之体温皆无降低作用。以水牛角配制的安官牛黄丸细粉剂，对流行性乙型脑膜炎具明显的治疗效果;水牛角浓缩粉或水牛角片配伍清热利湿药治疗慢性肝炎患者1～2月，转氨酶至正常，HAA亦转阴，肝功能恢复正常，热象消失，而且胃纳增加，无不良反应。, ①治流行性乙型脑炎，高热惊厥：水牛角片，3岁以内每日30克。3岁以上每日60克。水煎2小时，每日2～3次分服。一般用药1星期以上，或用到病人完全清醒为止。(《食物中药与便方》),具有镇静、抗惊厥的作用;增强心功能，减慢心肌收缩力，调节血压;具有抗炎、抗感染的作用;保护肝功能;对血液系统，使白细胞总数降低、中性粒细胞减少、淋巴细胞增加、骨髓细胞减少、血小板增加，降低血脂;增强网状内皮细胞的吞噬功能。,中虚胃寒者慎服。大量服用，常有上腹部不适，恶心，腹胀，食欲不振等反应。
水茴香,水茴香 shuihuixiang,水八角、水薄荷、水荆芥。,All-Grass Of Winkled Marshweed。,,玄参科植物大叶石龙尾Limnophila rugosa (Roth) Merr.的全草。,一年生芳香草本。茎多数，粗壮，高30~60厘米，幼时被毛，老则秃净。单叶对生，革质；叶片椭圆形或卵形，先端钝或近短尖，基部渐狭，边缘小钝齿，上面多皱纹，有白毛，下面散生多数小腺点。头状花序腋生，无柄或有短炳；小花无柄；小苞片l枚，线状披针形；萼被柔毛，裂片披针形；花冠管圆柱形，先端多少二唇形，蓝紫色，口部黄色，上唇全缘或2裂，下唇3裂，扩展；雄蕊4枚，2强，内藏；子房上位，2室，花柱单生，顶端下弯。蒴果椭圆形，约与萼等长。花期秋季。,生于山野沟边阴湿地。分布于福建、台湾、广东、广西、四川等地。,秋季霜采收，除去泥沙，洗净，晒干。,茎黄棕色，有膨大的节；叶多脱落或皱缩卷曲，灰棕色，对光照视有多数透明腺点。揉之有八角香气，味微苦、辛。,性温，味辛、甘。归肺经、脾经、胃经。,健脾利湿、理气化痰。属理气药。,用量6~15克，煎汤内服，用治水肿、胃痛、胸腹胀满、咳嗽气喘、小儿乳积；外用适量，捣敷或煎水洗患处，用治疮疖。,茎叶含精油，主要成分为芳樟醇，受草脑，顺式及反式茴香脑，茴香醛，茴香丙酮，丁香烯，葎草烯，异愈创木烯。花茎的精油中含胡椒酚甲醚，茴香醛及基他5种成分。地上部分及根含5-羟基-7，8，2，4-四甲氧基黄酮，三十一烷醇，熊果酸，白桦脂醇，白桦脂酸，石吊兰素，去甲氧基苏打基亭。,,,尚不明确。
水红花子,水红花子 shuihonghuazi,水荭子、荭草实、河蓼子。,,蓼科植物荭蓼Potylgonum orientale L.的成熟果实。,,一年生草本，高1～3米。茎直立，中空，有节，多分枝，遍体密被粗长毛。叶大，互生，广卵形或卵形，先端渐尖，基部浑圆或稍为心形，全缘呈浅波状，叶柄长；托鞘膜质，被毛，顶端常扩大而成一广展或外反的小片。圆锥花序顶生，稍下垂，被柔毛；苞片鞘状，外面有长毛，内面无毛，广卵形；花白色或粉红色，花被5裂，椭圆形，无毛；雄蕊7～8枚，稍伸出花外；子房稍圆形扁平状，花柱2裂。瘦果扁平，略呈圆形，两面中部微凹，褐黑色，有光泽，包于宿存的花被内。花期4～6月，果期7～8月。,生于路边和水边湿地。遍布于全国南北；药材主产于东北三省、内蒙古、河北等地。,8～10月割取果穗，晒干，打落果实，除去杂质。,扁圆形，直径2～3毫米，厚1～1.5毫米。表面棕黑色或红棕色，有光泽，两侧面微凹入，其中央呈微隆起的线状，先端有刺状突起的柱基，基部有浅棕色略突起的果柄痕，有时残留膜质花被。果皮厚而坚硬。种子扁圆形，种皮浅棕色膜质；胚乳粉质，类白色，胚细小弯曲，略成环状。气微弱，味淡，以饱满充实、色红黑者为佳。,性微寒，味咸。归肝经、胃经。,消瘀破积、健脾利湿、全身止痛。属活血化瘀药下分类的破血消癥药。,治疗胁腹征积、水臌、胃疼、食少腹胀、火眼、疮肿、瘰疬。煎汤内服，用量15～30克，外用适量，熬膏敷患处。凡血分无淤滞者及胃虚寒者忌用。,主要含花旗松素、槲皮素等。还含淀粉41.51%。, ①治腹中痞积：水红花或子一碗，以水三碗，用文火熬成膏，量痞大小摊贴，仍以酒调膏服。忌荤腥油腻。(《保寿堂经验方》),有利尿、抗菌，抗肿瘤等作用。小鼠每天灌服水红花子煎剂、酊剂或石油醚提取物，连续10天，对艾氏腹水癌(腹水型及实体型)和肉瘤-S180有一定的抑制作用，但其效果不稳定，需进一步证实。,血分无瘀滞及脾胃虚寒者慎服。
水河剑,水河剑 shuihejian,金星草、飞刀剑。,Herba Diplazii Lancei。,,蹄盖蕨科植物单叶双盖蕨Diplazium lanceum (Thunb.) Presl.的全草。,多年生草本，高达10~45厘米。根状茎细长，横走，被黑色或深棕色披针形鳞片。叶疏生，单叶，近革质，线状披针形，两端渐狭，全缘或微波状，侧脉羽状，斜展，2~3分叉。孢子囊群条形，单生，间有双生，斜展，着生于叶背侧脉上侧，通常分布在叶片的上半部，囊群盖线形，膜质。,生于溪旁林下或阴湿酸性土或石头上。分布于我国长江以南各地。,全年均可采收，除去泥沙、杂质，晒干。,根茎细长，被棕色披针形鳞片。叶单生，薄革质，无毛，呈狭披针形或条状披针形，长10~25厘米，中部宽1.5~3厘米，全缘，边缘干后向外微卷。叶脉明显，2~3分叉。叶背有条形的孢子囊群，着生于侧脉上侧，单一，偶有双生同一脉的两侧。囊群盖同形，膜质。叶柄基部被棕色鳞片。气微，味微苦、涩。,性寒，味微苦、涩。归经暂缺。,凉血、止血、利尿通淋。属止血药下属分类的凉血止血药。,用量9~15克，煎服。用治目赤肿痛、尿路结石、热淋尿血。,现代对这种草药的研究比较少。,,,尚不明确。
水飞蓟,水飞蓟 shuifeiji,水飞雉、奶蓟、老鼠勒。,Silybi Fructus。,菊科植物水飞蓟Silybum marianum (L.)Gaerth的瘦果。,,一二年生草本。茎直立，高30～200厘米，多分枝，光滑或被蛛丝状毛，有纵棱槽。叶互生，基部叶常平铺地面，呈莲座状，长椭圆状披针形，深或浅羽状分裂，缘齿有尖刺，长40～80厘米，宽10～30厘米，表面亮绿色，有乳白色斑纹，基部抱茎；中部、上部叶片渐小，上部叶披针形。头状花序直径3～6厘米，单生枝顶，总苞宽球形，总苞片革质，顶端有长刺；管状花紫红色、淡红色或少有白色。瘦果长椭圆形，暗褐色或黑色。有纵条纹及白色斑纹；冠毛多数，白色，不等长，基部合生成环。花期5～6月，果期6～7月。,江苏、陕西、北京等地有引种栽培。,秋季果实成熟时采收果序，晒干，打下果实，除去杂质，晒干。,本品呈长倒卵形或椭圆形，长5～7毫米，宽2～3毫米。表面淡灰棕色至黑褐色，光滑，有细纵花纹。顶端钝圆，稍宽，有一圆环，中间具点状花柱残迹，基部略窄。质坚硬。破开后可见子时2片，浅黄白色，富油性。气微，味淡。,性寒，味苦。归肝经、胆经。,清热解毒、保肝、利胆，保脑，抗X射线。属清热药下属分类的清热解毒药。,内服：煎汤，用量6～15克。常用提取物作各种制剂的原料。全草用于肿疡及丹毒；果实及提取物用于肝脏病、脾脏病胆结石、黄疸和慢性咳嗽。,全草含有黄酮类及延胡索酸；种子主要含黄酮醇类化合物，水飞蓟宾、异水飞蓟宾、脱氢水飞蓟宾、水飞蓟宁、水飞蓟亭、水飞蓟宾聚合物及肉桂酸、肉豆蔻酸、棕榈烯酸、花生酸等。,慢性迁延性肝炎：配五味子，制蜜丸服用。,实验证明：①水飞蓟宾对于多种肝脏毒物引起的肝损伤有明显的保护作用。②水飞蓟宾、水飞蓟宁、水飞蓟亭都具有稳定细胞及细胞内生物膜的作用，是一类抗肝病毒的活性物质。此外，水飞蓟醇有促进胆汁分泌作用。③水飞蓟宾能抑制甲醛引起的腹膜炎和免疫反应引起的大鼠多发性关节炎。④狗和大鼠静脉注射30毫克/千克的水飞蓟宾，可引起血压下降和心率减缓。⑤通过动物试验，未观察到水飞蓟有明显毒性，也未发现副作用或对胚胎的毒性反应。,尚不明确，谨慎用药。
水朝阳,水朝阳 shuizhaoyang,旋覆花、水旋复、水葵花、金佛花。,Aquatic-Sunflower Inula Flower。,,菊科植物水朝阳Inula helianthuds-aquaticaC.Y. Wu ex Ling.的头状花序。,多年生草本。根状茎长，常具鳞片状叶和顶芽的细匍枝，茎下部常有不定根。茎直立，高30～80厘米，上端分枝，绿色而染以紫斑。单叶互生；叶片卵圆状披针形或披针形，下部叶渐狭成柄状，花期枯萎；中部以上叶无柄，基部圆形或楔形，半抱茎，上面无毛，下面有黄色腺点，脉上具柔毛。头状花序生于茎端或枝端；径2.5～4.5厘米；总苞半球形；总苞片多层，外层线形；舌状花舌片黄色，线形；管状花花冠约3毫米，有披针形裂片，裂片有腺点；冠毛污白色。瘦果圆柱形，有10条纵沟，无毛。花期6～10月，果期9～10月。,生于低山湿润坡地、林中溪岸、稻田或河流旁。分布于云南、四川、贵州、甘肃等地。,7～9月采摘，晒干。,扁球形，直径1～2厘米。总苞半球形；总苞片多层，外层条形，长约9毫米，被短柔毛，内层条状披针形，长6～6.5毫米，边缘宽膜质，有缘毛。舌状花较总苞长2～3倍，舌片黄色，条形，长约1.5厘米；管状花黄色，花冠长约3毫米，冠毛污白色.较管状花稍短，被微糙毛。微具菊花样香气，味微苦。,性微温，味苦、咸。有小毒。归经无。,祛风明目、化痰软坚、利水。属解表药下属分类的辛温解表药。,用量3~12克，煎服，包煎。用治风寒头痛、牙痛、目赤羞明、咳喘、鼓胀、乳岩、乳痈。,含水朝阳内酯及麦角内酯等内酯类成分。水提液和石油醚提取物具有抗癌作用；水朝阳内酯对人肺、胃、肠、鼻咽、膀胱、宫颈癌及白血病细胞均有杀伤作用及生长抑制作用。动物体内实验表明对多种肿瘤均有疗效。水煎剂具有镇咳作用。,,,尚不明确。
水半夏,水半夏 shuibanxia,土半夏、半夏、疯狗薯、土田七。,Rhizoma Typhonii Flagelliformis,,天南星科植物鞭檐梨头尖Typhonium flagelliforme (Lodd.) Blume.的块茎。,多年生草本。块茎圆锥形或椭圆形，直径1～2厘米，有多数细根。叶3～4，叶柄圆柱形，叶柄中部以下具宽鞘，基部鞘宽达1.5～2厘米;叶片长椭圆形、戟 状披针形或箭形，基部心形或下延，前裂片长圆形或长圆披针形，中裂片明显较长大，侧裂片小，向外水平伸展或下倾，长三角形;侧脉4～5对，其中1对基出， 均上举，背面不明显，集合脉2条，外圈靠近边缘，内圈与边缘相距3～5毫米。花序柄长约12厘米，佛焰苞绿白色，卵圆形，檐部绿色至绿白色，披针形，常伸 长卷曲为长鞭状，基部有棱，肉穗花序伸出，附属体线形，浅黄色。浆果卵圆形。花期4～5月，果期6～8月。,生于水边或低洼湿润处。分布于广东、广西、云南等地。,11月采收，用石灰水浸泡24小时，用木棍搅拌去皮后，晒干或烘干或鲜用。,圆锥形、半圆形或椭圆形，直径0.5～1.5厘米，高0.8～3厘米。表面类白色至棕黄色，略有皱纹，残留的外皮为黄白色至棕黄色，并有多数隐约可见的细小根痕，上端类圆形，有凸起(或平坦)的叶痕或芽痕，呈黄棕色至棕色，有的下端略尖。质坚实，断面白色，粉性。气微，味辛辣，麻舌而刺喉(有毒，勿多尝)。,味辛，性温，有毒。归肺经、脾经。,燥湿、化痰、止咳、消肿。属化痰止咳平喘药下属中的温化寒痰药。,用量6~9克，煎服；或入丸散；外用捣敷。用治咳嗽痰多、支气管炎。外用鲜品治痈疮疖肿、无名肿毒、毒虫咬伤。,尚含有机酸类、鞣质、水溶性生物碱等。,①治湿痰，咳嗽脉缓，面黄，肢体沉重，嗜卧不收，腹胀而食不消化：南星、半夏(俱汤洗)各50克，白术75克。上为细末，糊为丸，如桐子大.每服五、七十丸，生姜汤下。(《素问病机保命集》),含挥发油、蒽醌、糖类等化学成分、β-谷甾醇、β-谷甾醇葡萄糖苷。挥发油主要化学成分为4-羟基-4-甲基-2-戊酮、十六碳酸、8，11-十八碳二烯酸等。,阴虚燥咳及孕妇慎用。
双参,双参 shuangshen,山苦参、子母参、合合参、童子参、萝卜参、羊蹄参、青阳参、合包参。,Radix Triplostegiae。,为川续断科植物大花双参Triplostegia grandi flora Gagnep.的根。,,多年生革本，高达40厘米。主根红棕色，常二歧，稍肥厚，略呈纺锤形，外皮淡褐色，内面白色，干时变蓝色。基生叶无柄；叶倒披针形或窄倒卵形，长3～8厘米，先端圆，基部渐狭，2～3对羽状深裂或浅裂，中裂片最大，宽椭圆形，两侧裂片依次渐小，或呈齿状，上面浓绿色，下面苍白色，糙而厚，两面被长柔毛；茎生叶与基生叶同形，向上渐小成苞片状。花成疏大顶生聚伞圆锥花序，第一、第二回分枝细长，密被白色平展毛和腺毛，分枝处各有1对苞片，苞片条形，有齿或全缘；花具短梗；花萼细小，具8条肋，檐部具5齿；花冠白色带粉红，细筒状漏斗形，外面被长毛，裂片5，长为花冠的1/3；雄蕊4，稍伸出；子房下位，包围于狭长圆形囊状小总苞内。果时囊苞4裂，裂片先端直尖，无钩曲。花、果期7～10月。,生于海拔2000～3000米的山谷林下、林缘、草坡等处。分布于四川、云南。,9～10月采挖，鲜用或晒干。,双参块根呈纺锤形或长圆锥形，微弯曲，常两个孪生，偶有3个，长2～6厘米，直径0.2～0.5厘米，表面黄白色、黄棕色或棕黑色，根头残留部分草质茎；孪生根中，一个较饱满，具纵皱纹，另一个干瘪皱缩，具纵沟纹。有须根或须根痕。质脆，易折断，断面有的呈蓝色，略呈角质样，有的呈灰白色，具髓部或中空。无臭，味先苦后微甜。,性温，味苦。归心经、肝经、脾经、肾经。,益肾，活血调经。属活血化瘀药下分类的活血调经药。,内服：煎汤，用量15～30克。主治肾虚腰痛、遗精、阳痿、月经不调、不孕、闭经。,根含环烯醚萜苷A，甲基马钱子苷、马钱子苷酸，当药苷，胡萝卜苷；含三萜皂苷；大花双参皂苷A、B、C。,①治肝炎：双参30克，与猪肝蒸服。(《云南中草药》),①抗应激作用：采用常压耐缺氧、耐高温、耐低温、游泳实验，抗应激作用，观察双参对小鼠抗应激作用的影响。结果显示不同剂量的双参均具有明显的抗应激作用。②降血糖作用：双参具有降低试验性糖尿病小鼠血糖的作用，而这种作用可能是由清除白由基及抗脂质过氧化过程实现的。,尚不明确。
鼠曲草,鼠曲草 shuqicao,佛耳草、猫耳朵草、清明菜。,Herba Gnathali Affinis。,,菊科植物鼠曲草Gnaphalium affineD.Don.的全草。,一年生或二年生草本。茎直立，密被白色绵毛，通常自基部分枝。叶互生；下部叶匙形至线形，先端圆钝或具尖头，基部狭窄，抱茎，全缘，无柄，质柔软，两面均被白色绵毛，花后基部叶凋落。头状花序顶生，排列成伞房状；总苞球状钟形，苞片多列，金黄色，干膜质；花全部管状，黄色，周围数层为雌花，花冠狭窄如线，花柱较花冠为短；中央为两性花，花冠管细长，先端5齿裂，雄蕊5枚；柱头2裂。瘦果椭圆形，具乳头状毛，冠毛黄白色。花期4~6月，果期8~9月。,生于田边、山坡及路旁。分布于我国华东、华中、华南、西南各地。,夏、秋季花开时采收，除去杂质，晒干。,全株密被灰白色绵毛。根较细，灰棕色。茎常自基部分成丛，长15~ 30厘米，直径0.1~0.2厘米。基生叶已脱落；茎生叶互生，无柄，叶片皱缩，展平后呈条状匙形或倒披针形，长2~6厘米，宽0.3~1厘米，全缘，两面密被灰白色绵毛。头状花序多数，金黄色或棕黄色。气微，味微甘。,性平，味甘。归肺经。,祛痰、止咳平喘、祛风湿。属化痰止咳平喘药下属分类的止咳平喘药。,用量9~30克，煎服。用治咳嗽、痰喘、风湿痹痛。,含5%黄酮苷、0.05%挥发油、微量生物碱和甾醇、0.58%非皂化物。又含维生素B1、胡萝卜素、叶绿素等。动物实验表明，其煎剂灌服，对小鼠反复吸入浓氨水所致慢性咳嗽，有一定止咳作用。临床用其浓缩煎液治疗慢性支气管炎有较好疗效。,,,少用，使用过量对眼睛有损害。
鼠李,鼠李 shuli,臭李子、牛李、楮李、兴安鼠李。,Fruit of Davurian Buckthorn,,鼠李科植物鼠李Rhamnus dahurica Pall.的果实。,落叶小乔木或开张的大灌木，高可达10米，分枝多。树皮灰褐色，常呈环状剥裂。小枝粗壮近对生，具较大的锥形顶芽，稀不具芽而成锥形刺。叶对生于长枝上，或丛生于短枝上；卵状椭圆形、椭圆形或倒宽披针形，先端渐尖或急尖，基部圆形，边缘具细圆齿，齿端常有腺体，无毛。侧脉通常4~5对。花2~5束生于叶腋，黄绿色，雌雄异株；萼4裂，萼片狭卵形，锐头；花冠漏斗状钟形，4裂；雄花雄蕊4枚，雌花子房球形，2~3室，花柱2~3裂。核果近球形，成熟后紫黑色。花期5~6月，果期8~9月。,生于山地杂木林或山间沟旁及林缘灌木丛中。分布于东北、河北、山东等地。,8~9月果实成熟时采收，除去果柄，微火烘干。,近球形，外表黑紫色，光泽而有皱缩纹。果肉疏松，内层坚硬，通常有果核2枚；果核卵圆形，背面有狭沟。,性平，味甘、微苦。归肝经、肾经。,止咳、祛痰。属清热药下分类的清热燥湿药。,用于治支气管炎、肺气肿、龋齿痛、痈疖。用量果实5~ 15克，可制成酒剂服；外用适量，将果实捣烂敷患处。,含大黄素、大黄酚、葸酚；另含山柰酚。种子中有多种黄酮苷酶。,,,有小毒。
